"filename", "language", "JSON with Comments", "HTML", "XML", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\DocumentPreviewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\DocumentSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 5, 14, 204
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\ExercisesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 4, 10, 133
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\Modal_Event.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 73
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\NewsSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 4, 10, 128
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\ShareModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 4, 13, 144
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\StudentsSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 4, 10, 137
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\UserExercisesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 4, 10, 136
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsBasicFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 7, 34
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsContentEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 5, 88
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsFormActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsFormHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 1, 6, 45
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsImageUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\NewsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 8, 135
"e:\Workspace\Edu_Learn_Nest\app\components\news_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"e:\Workspace\Edu_Learn_Nest\app\components\students_components\StudentsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 1, 6, 45
"e:\Workspace\Edu_Learn_Nest\app\components\students_components\StudentsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 8, 153
