"filename", "language", "HTML", "TypeScript", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\app\components\exercises\GradeTable.tsx", "TypeScript JSX", 0, 0, 0, -128, 0, 0, -9, -137
"e:\Workspace\Edu_Learn_Next\app\components\exercises\SubmissionList.tsx", "TypeScript JSX", 0, 0, 0, -44, 0, 0, -6, -50
"e:\Workspace\Edu_Learn_Next\app\components\features\FeaturesHeader.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 3, 20
"e:\Workspace\Edu_Learn_Next\app\components\features\listening\ListeningFeature.tsx", "TypeScript JSX", 0, 0, 0, 179, 0, 5, 14, 198
"e:\Workspace\Edu_Learn_Next\app\components\features\translator\TranslatorFeature.tsx", "TypeScript JSX", 0, 0, 0, 215, 0, 8, 23, 246
"e:\Workspace\Edu_Learn_Next\app\components\features\vocabulary\VocabularyFeature.tsx", "TypeScript JSX", 0, 0, 0, 121, 0, 4, 14, 139
"e:\Workspace\Edu_Learn_Next\app\components\features\writing\WritingFeature.tsx", "TypeScript JSX", 0, 0, 0, 325, 0, 6, 14, 345
"e:\Workspace\Edu_Learn_Next\app\components\home\Banner.tsx", "TypeScript JSX", 0, 0, 0, -41, 0, 0, -5, -46
"e:\Workspace\Edu_Learn_Next\app\components\home\CallToAction.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 1, 10, 58
"e:\Workspace\Edu_Learn_Next\app\components\home\Events.tsx", "TypeScript JSX", 0, 0, 0, -19, 0, 1, 5, -13
"e:\Workspace\Edu_Learn_Next\app\components\home\Features.tsx", "TypeScript JSX", 0, 0, 0, -26, 0, 1, 1, -24
"e:\Workspace\Edu_Learn_Next\app\components\home\Hero.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 4, 10, 93
"e:\Workspace\Edu_Learn_Next\app\components\home\Integrations.tsx", "TypeScript JSX", 0, 0, 0, 55, 0, 1, 7, 63
"e:\Workspace\Edu_Learn_Next\app\components\home\News.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 1, 2, 8
"e:\Workspace\Edu_Learn_Next\app\components\home\Stats.tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 4, 69
"e:\Workspace\Edu_Learn_Next\app\components\home\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 68, 0, 2, 8, 78
"e:\Workspace\Edu_Learn_Next\app\components\home\ValueProps.tsx", "TypeScript JSX", 0, 0, 0, 87, 0, 6, 7, 100
"e:\Workspace\Edu_Learn_Next\app\components\layout\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 13
"e:\Workspace\Edu_Learn_Next\app\components\layout\HeaderClient.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 8, 9, 95
"e:\Workspace\Edu_Learn_Next\app\components\layout\ScrollProgress.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 3, 11, 47
"e:\Workspace\Edu_Learn_Next\app\components\layout\SuperAdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 20
"e:\Workspace\Edu_Learn_Next\app\components\layout\UserSidebar.tsx", "TypeScript JSX", 0, 0, 0, -6, 0, 0, 1, -5
"e:\Workspace\Edu_Learn_Next\app\components\listening\LessonCard.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 4, 9, 111
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsBasicFields.tsx", "TypeScript JSX", 0, 0, 0, -27, 0, 0, -7, -34
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsCard.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 9, 13, 89
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsContentEditor.tsx", "TypeScript JSX", 0, 0, 0, -78, 0, 0, -12, -90
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsFormActions.tsx", "TypeScript JSX", 0, 0, 0, -39, 0, 0, -7, -46
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsHeader.tsx", "TypeScript JSX", 0, 0, 0, -35, 0, -1, -5, -41
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsImageUpload.tsx", "TypeScript JSX", 0, 0, 0, -28, 0, 0, -5, -33
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsSearchModal.tsx", "TypeScript JSX", 0, 0, 0, -114, 0, -4, -10, -128
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsTable.tsx", "TypeScript JSX", 0, 0, 0, -127, 0, 0, -8, -135
"e:\Workspace\Edu_Learn_Next\app\components\super-admin\CreateNotificationModal.tsx", "TypeScript JSX", 0, 0, 0, -30, 0, -3, -3, -36
"e:\Workspace\Edu_Learn_Next\app\components\super-admin\EditNotificationModal.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 16, 146
"e:\Workspace\Edu_Learn_Next\app\components\user\UserHeader.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 3, 6, 35
"e:\Workspace\Edu_Learn_Next\app\components\vocabulary\VocabularyCard.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 2, 6, 13
"e:\Workspace\Edu_Learn_Next\app\globals.css", "CSS", 0, 0, 0, 0, 192, 5, 38, 235
"e:\Workspace\Edu_Learn_Next\app\layout.tsx", "TypeScript JSX", 0, 0, 0, -2, 0, 0, -1, -3
"e:\Workspace\Edu_Learn_Next\app\super-admin\accounts\create\page.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 8, 0, 52
"e:\Workspace\Edu_Learn_Next\app\super-admin\documents-crawl\page.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 18, 8, 96
"e:\Workspace\Edu_Learn_Next\app\super-admin\documents-user\page.tsx", "TypeScript JSX", 0, 0, 0, -12, 0, 0, 0, -12
"e:\Workspace\Edu_Learn_Next\app\super-admin\layout.tsx", "TypeScript JSX", 0, 0, 0, -3, 0, 2, 0, -1
"e:\Workspace\Edu_Learn_Next\app\super-admin\notification\page.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, -1, 3, 66
"e:\Workspace\Edu_Learn_Next\app\user\chat\layout.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 4, 23
"e:\Workspace\Edu_Learn_Next\app\user\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 196, 0, 17, 7, 220
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\announcements\page.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 9, 17, 195
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\documents\page.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 11, 17, 223
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\exams\page.tsx", "TypeScript JSX", 0, 0, 0, 86, 0, 4, 8, 98
"e:\Workspace\Edu_Learn_Next\app\user\classes\[id]\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 4, 10, 96
